Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Q1_rainfall,Q2_rainfall,Q3_rainfall,Q4_rainfall,City
2013,2.75,3.08,2.72,2.34,4.36,10.04,4.92,4.53,2.22,0.6,3.05,4.87,8.55,16.74,11.67,8.52,New Brunswick
2014,2.86,5.19,4.51,3.19,6.9,3.93,7.15,1.88,1.23,4.13,4.59,5.34,12.56,14.02,10.260000000000002,14.059999999999999,New Brunswick
2015,5.02,2.57,4.65,2.23,1.44,6.13,2.7,1.21,3.0,4.3,1.59,4.67,12.24,9.8,6.91,10.559999999999999,New Brunswick
2016,4.92,4.32,1.6,1.3,4.56,2.35,7.15,0.84,1.7,3.06,2.8,4.17,10.84,8.209999999999999,9.69,10.03,New Brunswick
2017,4.6,1.51,3.53,6.29,7.32,5.36,4.08,7.63,1.78,5.2,2.1,1.94,9.639999999999999,18.97,13.49,9.24,New Brunswick
2018,2.16,6.67,5.53,5.03,5.85,4.96,4.3,4.18,8.82,3.2,8.72,5.81,14.36,15.84,17.3,17.73,New Brunswick
2019,5.1,3.46,4.38,3.96,7.15,5.45,6.3,4.58,1.52,5.18,2.13,7.2,12.939999999999998,16.56,12.399999999999999,14.51,New Brunswick
2020,2.01,3.08,4.54,4.2,2.33,2.91,11.39,5.72,4.61,5.66,3.47,5.21,9.629999999999999,9.440000000000001,21.72,14.34,New Brunswick
2021,2.21,5.64,2.86,2.49,4.17,3.38,5.01,6.27,10.01,7.37,1.0,1.45,10.709999999999999,10.04,21.29,9.82,New Brunswick
